x_centroid,y_centroid,brightness,RA_deg,DEC_deg,magnitude
8984.55641302011,1949.96752282824,9014608,214.9629671415301,-47.90406682099119,5.640963768046557
6513.58463240061,537.999401573094,8163328,214.9566173569883,-47.90715163876305,6.170096830869376
12502.2523500467,4354.17181198789,7856032,214.964476885381,-47.917583577801814,4.443002148398087
8346.62408297763,5918.03846816213,7226800,214.9732302985641,-47.90199690120591,5.103059763556056
8148.20724714186,8711.58738261277,6245344,214.95565846625277,-47.914756378262375,6.991126470318694
5578.20168591535,7299.8499217288,6048512,214.95565863043052,-47.907779901853544,7.678315571195949
8559.16849757806,1089.15456428695,5675008,214.97379212815508,-47.88339915461731,8.991737556964749
3003.24502855202,3423.54556959694,5504496,214.96567434729153,-47.909960598997245,8.66556665671779
856.453557108823,6699.02743772693,5461904,214.95330525614065,-47.89750726673714,7.2128259976759574
1174.86999069297,8831.97729964413,5387840,214.96342560043587,-47.91603176425126,6.10624026647036
8290.57312095629,4076.50850531448,5370128,214.95336582307186,-47.90934988490497,7.180886823541163
392.661784472488,9182.22402389845,5272608,214.95334270246428,-47.89129199364364,7.92825809040116
5184.86555578617,8496.27837650508,5147472,214.96041962271565,-47.91526967057788,4.591680954616937
5207.48961768108,8363.32587671035,5035456,214.9388671975534,-47.89087551442003,6.049524448481441
3095.43764944077,4075.53967321044,4978800,214.94075082167487,-47.901922480645446,8.199011428178085
1452.06393768048,510.882600259555,4939216,214.9523771247076,-47.91462466775894,5.91916475966522
7076.02136125986,7780.70005136458,4879936,214.94787168879665,-47.90267592260945,6.859361356135933
6024.44817833999,2505.86842223634,4759392,214.96114247332596,-47.89927445550373,6.938846804310991
10013.64140523,5702.62080553718,4740016,214.94891975924477,-47.902781900377825,4.9223812656681964
8773.12607308298,1072.3905519037,4736032,214.94387696298665,-47.9247022471989,5.811177208261442
7626.04518451817,142.440480066852,4734816,214.97265648768922,-47.91627137175825,5.672556443709661
9085.84108524278,9166.2197531061,4629152,214.95574223699512,-47.91147518635552,4.130983542660324
10909.5051545337,7940.566621684,4614320,214.95867528204687,-47.909744334291,4.120958819456776
5364.30475488834,7878.68338881861,4565216,214.94375251813787,-47.90279327902449,8.158485218378868
787.813102027111,317.853434448791,4551728,214.95255617275475,-47.907222989990665,5.365354049864062
9075.40961318655,8444.44733737418,4535168,214.9591092258971,-47.9223534435871,6.590393831194078
7290.58107643388,293.804129654776,4462592,214.94649006422577,-47.90519802148994,5.493627867943865
5837.38046163196,8915.69793060406,4438352,214.96175698018345,-47.90289414254716,8.703396225576704
7061.78404213938,5174.76573823012,4428272,214.9519936131008,-47.90340209552069,5.296483794328869
1968.95679298269,7607.14417483497,4392768,214.95508306250207,-47.89819219274445,6.148284063694676
7487.21263164955,1620.0343407079,4333376,214.9519829338777,-47.90066077845451,8.36365125242301
725.556149410442,3228.92299835696,4300288,214.9765227818451,-47.904408199207715,8.209667833959044
8843.06852227164,6876.97154927779,4277664,214.95786502775263,-47.90970165711459,4.930507089231386
8502.8927045757,5327.00090619453,4252736,214.94742289071044,-47.92560960933516,8.013216548978551
3676.70604010431,4429.95406343005,4173952,214.96622544912103,-47.904703817808674,6.290934433689463
11465.1524909256,7883.30957165441,4168112,214.94579156350028,-47.906923123128365,6.414844360426776
2934.81334340033,4788.33024888762,4087760,214.96008863595006,-47.90628421162805,4.667399862079719
9433.87685222768,1379.56734264144,4081600,214.9384032987612,-47.9217674857582,4.403007568785624
1200.27446908713,8050.82288471306,4078928,214.94471813951102,-47.919810565404084,7.6396965348688255
2088.78208796986,2326.20305274567,4070848,214.9599686123587,-47.89846847146667,6.482305761776499
6368.72209619032,551.360394247155,4069168,214.96538466579995,-47.909395551538566,6.184253513075898
13031.7848676273,2180.97187203565,4061792,214.9597136828119,-47.902184993026275,7.647541143261984
9051.08475891084,8658.25357083464,4051136,214.9568435171761,-47.908716816238694,7.827564494955549
4972.02097105038,4196.46029440483,4038928,214.95498896304412,-47.90870243860504,4.794540838346768
819.240792162171,1550.99024811442,4027040,214.94321478009633,-47.89961716194024,7.051125747388206
1730.86970322492,8343.96771351771,4010784,214.95080155791604,-47.91416044728217,4.676770411388428
8059.66352631325,7662.2732672736,4003952,214.9533936122904,-47.90803879223059,7.756875430145229
5933.71239889614,7170.08882670335,3990272,214.9685712222622,-47.91362275288705,7.284775781335698
9616.98536447009,3945.87685484113,3973360,214.96143618289568,-47.91334496227432,8.78307310541729
7084.65890351743,6460.48951540576,3945296,214.94036959844638,-47.91209172123469,4.344790081782106
1422.99926486693,8988.20320707249,3922192,214.96124083969394,-47.90677866228366,4.285273605756272
8635.07088297155,1886.76766507335,3913008,214.95414917719583,-47.913787486216634,5.410935373466001
7856.72970304045,9150.01433723858,3898464,214.95123077999693,-47.896442438744266,5.30852841867953
5809.46574395198,4129.30951397854,3897568,214.9641167628884,-47.91794607302219,5.234893995359999
11008.726320215,9399.51840574154,3897504,214.96830999522496,-47.91086871644161,8.531272902605183
6686.16773923161,6508.37033821683,3893360,214.96731280119116,-47.91339731058274,5.247730999247531
8869.94328342874,3621.18007238118,3888832,214.94960782476778,-47.89453022115646,5.359748630643155
7675.03828679293,7694.90627546361,3869712,214.9549078762415,-47.90703445223488,7.796991312089819
2188.6792744487,4125.82788879545,3867296,214.96131263431403,-47.89868155460531,6.2486992122527
4169.12069465248,2584.86495073451,3856400,214.96775545127122,-47.92385560373037,7.883552784775906
10223.1069871141,3306.05053614981,3853600,214.95320825762155,-47.906329497341304,4.326830787821926
6223.1689077108,1063.49903640152,3851216,214.95614341023335,-47.900103692043764,6.437855968366922
4670.3788031861,8808.11343829508,3847520,214.94693665025994,-47.90817716010724,4.1680680009164135
3866.79698996249,3799.00793212491,3805152,214.9460379337592,-47.898345196249345,4.3132660172767725
12835.393719868,6866.56246048493,3759728,214.96612525822394,-47.914172884501,8.532187266722055
2999.48848852041,7298.48703290266,3747488,214.9715624002857,-47.894906525598145,4.696226855587976
